"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
            KONOIN,24626,24447,49073,9227,94.27,520.57,,,
                KOIWA,3153,3133,6286,1169,15.09,416.53,,,
                    KAPKEN,1980,1987,3967,771,7.3,543.69,,,
                    CHEPTINGTING,1173,1146,2319,398,7.79,297.5,,,
                SIMOT,3625,3683,7308,1408,15.51,471.33,,,
                    SIMOT,2099,2199,4298,821,9.46,454.36,,,
                    CHONGENWO,1526,1484,3010,587,6.05,497.88,,,
                MOSONIK,2661,2611,5272,946,13.66,385.86,,,
                    MOGONJET,900,892,1792,312,4.7,381.53,,,
                    CHEPKOCHON,1761,1719,3480,634,8.97,388.12,,,
                MOGOGOSIEK,5968,5900,11868,2415,16.27,729.55,,,
                    SASETA,3614,3586,7200,1585,9.25,778.1,,,
                    NGERERITTA,2354,2314,4668,830,7.01,665.51,,,
                BOITO,5650,5619,11269,2035,22.57,499.28,,,
                    KAPTEMBWO,2077,2094,4171,738,8.48,491.67,,,
                    BOITO,3573,3525,7098,1297,14.09,503.87,,,
                CHEMELET,3569,3501,7070,1254,11.17,632.9,,,
                    CHEMELET,1401,1427,2828,504,5.41,523.02,,,
                    KABIANGEK,2168,2074,4242,750,5.76,735.99,,,
            TINET FOREST,0,0,0,0,433.94,0,,,
                TINET FOREST,0,0,0,0,433.94,0,,,
                    TINET FOREST,0,0,0,0,433.94,0,,,
        SOTIK,92782,95186,187968,35936,540.77,347.59,,,
            ABOSI,9471,10006,19477,3571,83.9,232.14,,,
                ABOSI,6362,6827,13189,2444,53.56,246.23,,,
                    KAPCHUMBE,1639,1787,3426,625,32.93,104.04,,,
                    ABOSI,2831,2937,5768,1109,10.44,552.52,,,
                    KAPLOMBOI,1892,2103,3995,710,10.19,391.93,,,
                GELEGELE,3109,3179,6288,1127,30.34,207.26,,,
                    GELEGELE,1643,1679,3322,590,14.37,231.13,,,
                    KOIYET,406,391,797,153,6.35,125.42,,,
                    KIPSIMBOL,1060,1109,2169,384,9.61,225.69,,,
            NDANAI,15493,16392,31885,5975,81.47,391.35,,,
                NDANAI,8680,8992,17672,3299,39.03,452.8,,,
                    KIPSINGEI,2721,2776,5497,1053,13.29,413.67,,,
                    NDANAI,3217,3382,6599,1241,8.23,801.5,,,
                    CHEPLELWA,1530,1526,3056,540,11.7,261.12,,,
                    CHEPKEIGEI,1212,1308,2520,465,5.8,434.26,,,
                KAPKELEI,6813,7400,14213,2676,42.45,334.85,,,
                    KAPKELEI,1780,1958,3738,700,12.81,291.72,,,
                    SIGORIAN,2281,2492,4773,892,14.96,319.14,,,
                    OLDEBESI,1324,1431,2755,546,5.45,505.63,,,
                    MOTIRET,1428,1519,2947,538,9.23,319.35,,,
            SOTIK,28609,28455,57064,11959,150.81,378.37,,,
                MANARET,5762,5192,10954,2918,54.58,200.68,,,
                    MANARET,1045,1036,2081,399,10.08,206.37,,,
                    MABWAITA,1115,1049,2164,437,12.35,175.18,,,
                    CHEBILAT,2219,2169,4388,1098,12.62,347.83,,,
                    MONIERE,1383,938,2321,984,19.53,118.83,,,
                RONGENA,3275,3200,6475,1175,17.05,379.81,,,
                    KIPNGOSOS,1027,1058,2085,397,4.58,455.16,,,
                    RONGENA,2248,2142,4390,778,12.47,352.13,,,
                TEMBWO,3588,3813,7401,1320,20.84,355.19,,,
                    BURGEI,1195,1291,2486,434,5.62,442.53,,,
                    TEMBWO,2393,2522,4915,886,15.22,322.95,,,
                CHEMAGEL,6067,5977,12044,2747,21.15,569.34,,,
                    CHEBONGI,1831,1950,3781,732,5.19,728.57,,,
                    SOTIK,3081,2810,5891,1577,4.65,1266.09,,,
                    KIPAJIT,1155,1217,2372,438,11.31,209.69,,,
                YAGANEK,3179,3251,6430,1176,16.71,384.91,,,
                    YAGANEK,2255,2307,4562,820,7.53,605.45,,,
                    EMITYOT,924,944,1868,356,9.17,203.7,,,
                KAPLONG,6738,7022,13760,2623,20.49,671.68,,,
                    KAPLONG,3326,3697,7023,1311,10.77,651.98,,,
                    KAPCHEPKORO,3412,3325,6737,1312,9.71,693.53,,,
            KAPLETUNDO,20007,20361,40368,7342,80.3,502.7,,,
                KAPLETUNDO,3677,3775,7452,1372,14.18,525.6,,,
                    CHESILYOT,1237,1361,2598,485,5.64,460.3,,,
                    BALEK,2440,2414,4854,887,8.53,568.79,,,
                KIMOLWET,1974,1970,3944,711,9.5,415.35,,,
                    KIMOLWET,983,941,1924,342,4.74,405.65,,,
                    KAPKESEMBE,991,1029,2020,369,4.75,425.03,,,
                KAMUNGEI,4636,4723,9359,1720,16.89,553.96,,,
                    KAMUNGEI,1645,1720,3365,648,5.83,576.98,,,
                    KENENE,1825,1871,3696,678,6.32,584.86,,,
                    KAPKOITIM,1166,1132,2298,394,4.74,484.5,,,
                CHEBIRBELEK,4833,4980,9813,1774,19,516.45,,,
                    SIROIN,2182,2314,4496,810,8.21,547.46,,,
                    CHEBIRBELEK,2651,2666,5317,964,10.79,492.84,,,
                CHEBILAT,2101,1984,4085,749,9.21,443.57,,,
                    CHEBILAT,992,988,1980,357,6.1,324.58,,,
                    TOGOMIN,1109,996,2105,392,3.11,677,,,
                KIMAWIT,2786,2929,5715,1016,11.52,495.95,,,
                    KIMAWIT,1965,2064,4029,698,7.94,507.31,,,
                    KERONJO,821,865,1686,318,3.58,470.75,,,
            MUTARAKWA,19202,19972,39174,7089,144.28,271.52,,,
                KANUSIN,3953,4264,8217,1513,24.84,330.78,,,
                    SOLYOT,981,1124,2105,413,6.55,321.35,,,
                    KAPSANGARU,1368,1406,2774,504,8.09,343.1,,,
                    KANUSIN,1604,1734,3338,596,10.21,327.08,,,
                MUTARAKWA,6153,6309,12462,2197,36.83,338.4,,,
                    LELDAET,3587,3601,7188,1252,18.91,380.08,,,
                    TARAKWA,2566,2708,5274,945,17.91,294.4,,,
                KIPTULWA,9096,9399,18495,3379,82.61,223.88,,,
                    KIPSONOI,2035,2118,4153,742,16.85,246.51,,,
                    CHEBOLE,3266,3281,6547,1224,30.18,216.9,,,
                    KINYELWET,2217,2307,4524,816,21.92,206.38,,,
                    KAPKURES,1578,1693,3271,597,13.66,239.49,,,
        BOMET,194862,202242,397104,75322,1051.57,377.63,,,
            BOMET CENTRAL,79087,79229,158316,30184,336.53,470.43,,,
                CHESOEN,8749,8699,17448,3150,28.32,616.15,,,
                    CHESOEN,2828,2733,5561,945,9.94,559.69,,,
                    KAMOGOSO,4098,4190,8288,1542,12.26,676.3,,,
                    KIPLELJI,1823,1776,3599,663,6.13,587.38,,,
                ITEMBE,5669,5872,11541,2088,44.87,257.21,,,
                    ITEMBE,2751,2876,5627,1002,26.6,211.58,,,
                    KABISOGE,2918,2996,5914,1086,18.27,323.63,,,
                KIROMWOK,6446,6584,13030,2318,27.52,473.46,,,
                    KIROMWOK,3692,3718,7410,1323,14.88,497.89,,,
                    MENET,2754,2866,5620,995,12.64,444.69,,,
                KYOGONG,5581,5785,11366,2190,33.77,336.62,,,
                    GOITAB SILIBWET,2742,2890,5632,1115,16.67,337.85,,,
                    KYOGONG,2839,2895,5734,1075,17.1,335.42,,,
                MERIGI,7433,7578,15011,2735,31.3,479.65,,,
                    CHEPKOLON,2124,2134,4258,781,8.9,478.51,,,
                    MERIGI,2241,2250,4491,815,11.06,406.1,,,
                    MOTIGO,3068,3194,6262,1139,11.34,552.28,,,
                MUGANGO,4578,4766,9344,1719,20.63,452.85,,,
                    KITOBEN,2279,2301,4580,840,10.9,420.09,,,
                    MUGANGO,2299,2465,4764,879,9.73,489.55,,,
                NDARAWETA,11099,10960,22059,4132,52.93,416.72,,,
                    KABUSARE,4238,4110,8348,1561,18.93,440.97,,,
                    NGAINET,2736,2651,5387,1023,13.54,397.88,,,
                    NYONGORES,1619,1557,3176,576,6.97,455.77,,,
                    TEGANDA,2506,2642,5148,972,13.5,381.46,,,
                SIBAIYAN,8620,8408,17028,3359,32.46,524.52,,,
                    SIBAIYAN,3037,3008,6045,1126,11.89,508.38,,,
                    KAPKOROS,5583,5400,10983,2233,20.57,533.85,,,
                SINGORWET,6257,6194,12451,2255,22.99,541.49,,,
                    AISAIK,2026,1986,4012,731,7.53,533.04,,,
                    KABUNGUT,1510,1514,3024,520,6.05,500.23,,,
                    SINGORWET,2721,2694,5415,1004,9.42,574.71,,,
                TOWNSHIP,14655,14383,29038,6238,41.74,695.74,,,
                    CHEPNGAINA,5211,4954,10165,2639,9.37,1085.31,,,
                    KAPSIMBIRI,1366,1341,2707,510,5.9,458.81,,,
                    KAPSIMOTWA,3632,3519,7151,1267,12.69,563.52,,,
                    SILIBWET,4446,4569,9015,1822,13.78,654.17,,,
            LONGISA,47661,50201,97862,18812,257.89,379.47,,,
                CHEBOIN,6653,6971,13624,2657,35.39,384.93,,,
                    CHEBOIN,2684,2558,5242,977,15.11,346.99,,,
                    EMITIOT,1907,2147,4054,786,10.53,384.87,,,
                    SAMITUK,2062,2266,4328,894,9.75,443.75,,,
                CHEMANER,5568,5948,11516,2108,32.69,352.24,,,
                    CHAMBORI,895,947,1842,305,4.58,401.82,,,
                    CHEMANER,1366,1473,2839,520,8.46,335.71,,,
                    KAPSIGIRIO,946,1021,1967,328,3.9,503.86,,,
                    KICHUTMOI,2361,2507,4868,955,15.75,309.09,,,
                KAPKIMOLWA,7119,7622,14741,2851,43.85,336.14,,,
                    KAPKIMOLWA,2410,2534,4944,953,11.02,448.56,,,
                    KIPTULWA,1621,1787,3408,663,10.77,316.58,,,
                    KOIBEIYON,3088,3301,6389,1235,22.07,289.52,,,
                KEMBU,8130,8441,16571,3174,36.7,451.54,,,
                    CHEPKITWAL,2406,2547,4953,913,8.35,593.02,,,
                    KAPORUSO,2827,2984,5811,1144,12.81,453.74,,,
                    KONGOTIK,2897,2910,5807,1117,15.54,373.69,,,
                KIMUNCHUL,3829,3888,7717,1454,16.63,463.95,,,
                    LELKATET,2103,2156,4259,794,7.74,550.14,,,
                    SITOTWET,1726,1732,3458,660,8.89,388.9,,,
                KIPLABOTWA,6841,7219,14060,2828,42.06,334.31,,,
                    KAPLIYO,2558,2711,5269,1098,11.75,448.3,,,
                    KIPLABOTWA,1616,1734,3350,665,10.92,306.86,,,
                    OLOKYIN,2667,2774,5441,1065,19.39,280.65,,,
                KIPRERES,4372,4840,9212,1849,30.31,303.91,,,
                    KIPRERES,2355,2605,4960,1008,17.88,277.36,,,
                    NDUBAI,2017,2235,4252,841,12.43,342.11,,,
                TEGAT,5149,5272,10421,1891,20.25,514.58,,,
                    KIPYOSIT,2160,2309,4469,804,7.93,563.46,,,
                    TEGAT,2989,2963,5952,1087,12.32,483.11,,,
            SIGOR,26665,28790,55455,10951,208.14,266.43,,,
                CHELEGET,3373,3605,6978,1328,29.29,238.21,,,
                    CHEPKOSA,1535,1725,3260,608,11.2,291.12,,,
                    NOGIRWET,1838,1880,3718,720,18.1,205.47,,,
                KABOSON,3101,3305,6406,1266,28.06,228.3,,,
                    KABOSON,3101,3305,6406,1266,28.06,228.3,,,
                KAPKESOSIO,4198,4478,8676,1687,28.55,303.87,,,
                    KAPKESOSIO,1219,1247,2466,488,7.64,322.96,,,
                    KIMENDERIT,1470,1540,3010,587,9.32,322.87,,,
                    TUMOI,1509,1691,3200,612,11.59,276.03,,,
                LELAITICH,4957,5204,10161,2006,39.57,256.77,,,
                    KAPSABUL,1558,1696,3254,642,14.61,222.69,,,
                    LELAITICH,1522,1627,3149,652,11.3,278.77,,,
                    LUGUMEK,1877,1881,3758,712,13.66,275.03,,,
                SIGOR,6212,6657,12869,2548,48.96,262.83,,,
                    AREIYET,1887,2033,3920,731,17.83,219.8,,,
                    KIPKEIGEI,1774,1882,3656,710,15.63,233.96,,,
                    SIGOR,2551,2742,5293,1107,15.5,341.42,,,
                SUGUMERGA,4824,5541,10365,2116,33.7,307.55,,,
                    CHEPTAGUM,1223,1445,2668,557,6.77,394.03,,,
                    NYAMBUGO,2036,2333,4369,864,16.94,257.85,,,
                    SUGUMERGA,1565,1763,3328,695,9.99,333.26,,,
            SIONGIROI,41449,44022,85471,15375,249,343.25,,,
                BING'WA,8724,9072,17796,3040,51.95,342.56,,,
                    BING'WA,2196,2259,4455,764,11.8,377.68,,,
                    CHELELACH,1912,1956,3868,682,12.2,317.01,,,
                    CHEPWOSTUIYET,2321,2552,4873,829,16.04,303.87,,,
                    KAPOLESEROI,2295,2305,4600,765,11.92,386.02,,,
                CHEBUNYO,5641,5711,11352,2077,29.7,382.2,,,
                    CHEBUNYO,3153,3227,6380,1163,12.28,519.58,,,
                    ROBORWO,2488,2484,4972,914,17.42,285.37,,,
                KAMAGET,3026,3382,6408,1196,16.73,383.02,,,
                    KAMAGIBOI,1711,1920,3631,669,10.04,361.76,,,
                    TILANGOK,1315,1462,2777,527,6.69,414.9,,,
                KONGASIS,6047,6694,12741,2326,33.62,378.92,,,
                    KIMAYA,2063,2148,4211,813,10.74,392.13,,,
                    KIRIBA,1639,1860,3499,645,10.71,326.73,,,
                    SEGEMIK,2345,2686,5031,868,12.18,413.17,,,
                MAKIMENY,8085,8632,16717,2971,41.63,401.58,,,
                    KABEMA,2026,2029,4055,685,8.65,468.94,,,
                    KIBOSON,1399,1552,2951,555,6.54,451.25,,,
                    KOIMERET,2008,2148,4156,750,10.31,403.21,,,
                    MAKIMENY,1265,1386,2651,479,8.42,314.88,,,
                    MENGWET,1387,1517,2904,502,7.71,376.42,,,
                MOGOR,3476,3562,7038,1263,23.16,303.87,,,
                    CHEBOYO,1232,1288,2520,450,7.96,316.46,,,
                    KATARET,1128,1106,2234,398,9.94,224.81,,,
                    MOGOR,1116,1168,2284,415,5.26,434.15,,,
                SIONGIROI,6450,6969,13419,2502,52.21,257.03,,,
                    KAPSIMBA,1742,1917,3659,689,13.21,277.05,,,
                    KIPSUTER,1856,2001,3857,730,7.89,488.56,,,
                    SIONGIROI,2852,3051,5903,1083,31.11,189.77,,,
        KAJIADO NORTH,195955,191583,387538,108358,7400.92,52.36,,,
            EWASO KEDONG,18208,19065,37273,7501,2934.34,12.7,,,
                CENTRAL KEEKONYOKIE,5148,5256,10404,2095,1278.46,8.14,,,
                    EREMIT,1535,1573,3108,648,648.78,4.79,,,
                    KISAMIS,1452,1495,2947,562,231.74,12.72,,,
                    LOODARIAK,1050,1078,2128,424,142.78,14.9,,,
                    OLTEPESI,1111,1110,2221,461,255.15,8.7,,,
                ENSTASHAT,3860,3792,7652,1473,357.66,21.39,,,
                    KIMUKA,1184,1229,2413,451,75.34,32.03,,,
                    OLOSHO-OIBOR,1431,1394,2825,535,104.14,27.13,,,
                    SAIKERI,1245,1169,2414,487,178.18,13.55,,,
                ESONORUA,1168,1163,2331,502,239.56,9.73,,,
                    ESONORUA,616,587,1203,258,166.02,7.25,,,
                    ESONORUA WEST,552,576,1128,244,73.53,15.34,,,
                MOSIRO,2567,3125,5692,1303,486.7,11.7,,,
                    EMBARBAL,884,1094,1978,447,264.02,7.49,,,
                    OLDEPE,549,575,1124,248,36.23,31.02,,,
                    OLDOROKO,1134,1456,2590,608,186.45,13.89,,,
                NORTH KEEKONYOKIE,5465,5729,11194,2128,571.97,19.57,,,
                    ENKORIKA,1150,1113,2263,432,263.25,8.6,,,
                    INKIUSHIN,1373,1415,2788,584,58.87,47.36,,,
                    KISHARU,364,413,777,148,21.65,35.89,,,
                    NAJILE,1805,1868,3673,664,170.27,21.57,,,
                    OLGUMI,773,920,1693,300,57.92,29.23,,,
            ISINYA,45780,41229,87009,27127,1055.95,82.4,,,
                ISINYA,7573,6453,14026,4325,367.9,38.12,,,
                    ENKIRIGIRRI,6161,5301,11462,3847,164.28,69.77,,,
                    ILPOLOSAT,1412,1152,2564,478,203.62,12.59,,,
                KITENKELA,30098,28110,58208,18892,192.06,303.07,,,
                    OLOOLOITIKOSHI,15787,14876,30663,10273,102.87,298.07,,,
                    KITENKELA,14311,13234,27545,8619,89.19,308.83,,,
                OLOOSIRKON,3678,2952,6630,1659,198.17,33.46,,,
                    OLOOSIRKON,2344,1855,4199,1115,111.08,37.8,,,
                    SHOLINKE,1334,1097,2431,544,87.09,27.91,,,
                OLTUROTO,4431,3714,8145,2251,297.82,27.35,,,
                    KISANJU,3358,2850,6208,1844,148.94,41.68,,,
                    OLTUROTO,1073,864,1937,407,148.89,13.01,,,
            MAGADI,13039,12412,25451,5610,2693.95,9.45,,,
                MAGADI,2896,2629,5525,1443,391.06,14.13,,,
                    MAGADI,2307,1954,4261,1156,178.84,23.83,,,
                    OLKERI,589,675,1264,287,212.22,5.96,,,
                OLDONYO-NYOKIE,2027,1726,3753,783,584.66,6.42,,,
                    KORA,1001,905,1906,387,337.83,5.64,,,
                    NKEEK PUSI,567,355,922,179,77.55,11.89,,,
                    OLDONYO-NYOKIE,459,466,925,217,169.28,5.46,,,
                OLKIRAMATIAN,3988,3959,7947,1755,848.29,9.37,,,
                    ENTASOPIA,1372,1374,2746,638,109.62,25.05,,,
                    LORNGOSUA,218,251,469,100,48.88,9.6,,,
                    MUSENGE,457,516,973,212,115.09,8.45,,,
                    NKURUMANI,1014,946,1960,435,92.31,21.23,,,
                    OLDORKO,660,647,1307,249,334.74,3.9,,,
                    OLKIRAMATIA,267,225,492,121,147.66,3.33,,,
                SHOMPOLE,4128,4098,8226,1629,869.93,9.46,,,
                    EDOINYO-OOLASHO,676,731,1407,275,148.84,9.45,,,
                    LONKOBEI,441,495,936,202,191.78,4.88,,,
                    OLOIKA,675,760,1435,323,321.68,4.46,,,
                    PAKASE,1476,1274,2750,499,91.2,30.15,,,
                    SHOMPOLE,860,838,1698,330,116.44,14.58,,,
            NGONG,118928,118877,237805,68120,716.68,331.81,,,
                KISERIAN,13557,13204,26761,7209,45.84,583.75,,,
                    NASERIAN,7053,6992,14045,4058,11.29,1243.87,,,
                    OLTEYANI,2525,2374,4899,1144,17.15,285.69,,,
                    UPPER MATASIA,3979,3838,7817,2007,17.4,449.16,,,
                LEMELEPO,6402,6195,12597,3447,12.95,972.85,,,
                    KAHUHO,3205,3120,6325,1834,6.12,1033.21,,,
                    LOWER NKOROI,3197,3075,6272,1613,6.83,918.73,,,
                NGONG,12823,12901,25724,7618,42.63,603.38,,,
                    KIBIKO,3913,3720,7633,1839,34.1,223.83,,,
                    NGONG TOWNSHIP,8910,9181,18091,5779,8.53,2120.64,,,
                NKAIMURUNYA,28225,27181,55406,17484,9.85,5624.18,,,
                    EMBAKASI,3926,3095,7021,2382,3.67,1912.97,,,
                    KANDISI,2371,2510,4881,1333,2.56,1908.95,,,
                    KWARE,11354,10839,22193,7050,1.28,17289.65,,,
                    MOSOI RANGE,10574,10737,21311,6719,2.34,9104.54,,,
                OLCHORRO-ONYORE,5265,5076,10341,2271,206.08,50.18,,,
                    KIPETO,2782,2674,5456,1198,168.65,32.35,,,
                    OLCHORRO-ONYORE,2483,2402,4885,1073,37.43,130.5,,,
                OLKERI,10484,10743,21227,5676,23.21,914.46,,,
                    LOWER MATASIA,2180,2239,4419,1206,6.41,689.75,,,
                    OLKERI,2122,1982,4104,979,7.87,521.57,,,
                    OLOOSURUTIA,3994,4302,8296,2429,3.7,2243.31,,,
                    UPPER NKOROI,2188,2220,4408,1062,5.24,841.33,,,
                OLOOLUA,16935,16819,33754,9801,19.27,1751.92,,,
                    BULBUL,6815,6822,13637,4321,2.47,5516.81,,,
                    KERARAPON,1561,1443,3004,830,3.93,764.96,,,
                    OLEPOLOS,4284,4280,8564,2419,3.21,2666.33,,,
                    OLOOLUA,4275,4274,8549,2231,9.66,885.35,,,
                ONGATA RONGAI,21673,23005,44678,13229,16.54,2700.59,,,
                    OLEKASASI,2402,2098,4500,1134,10.76,418.11,,,
                    ONGATA RONGAI,19271,20907,40178,12095,5.78,6949.77,,,
                SOUTH KEEKONYOIKE,3564,3753,7317,1385,340.3,21.5,,,
                    KISANJU,1782,1881,3663,684,148.37,24.69,,,
                    OLOYIANKALANI,1782,1872,3654,701,191.93,19.04,,,
    WESTERN,2091375,2242907,4334282,904075,8309.32,521.62,,,
        KAKAMEGA CENTRAL,145280,152114,297394,65121,419.66,708.66,,,
            LURAMBI,54916,58875,113791,23511,195.83,581.08,,,
                NORTH BUTSOTSO,22955,24488,47443,9591,82.76,573.25,,,
                    ESUMEYIA,4350,4628,8978,1818,19.85,452.39,,,
                    SHINOYI,4270,4610,8880,1764,15.49,573.27,,,
                    INGOTSE,4519,4920,9439,1914,16.21,582.23,,,
                    MATIHA,6213,6439,12652,2509,18.19,695.67,,,
                    SHIKOMARI,3603,3891,7494,1586,13.03,575.29,,,
                SOUTH BUTSOTSO,8297,9080,17377,3752,31.21,556.7,,,
                    MATIOLI,2932,3288,6220,1387,9.02,689.52,,,
                    ESHIBEYE,2675,2877,5552,1130,13.26,418.57,,,
                    EMUKAYA,2690,2915,5605,1235,8.93,627.69,,,
                CENTRAL BUTSOTSO,12405,13339,25744,5325,48.81,527.48,,,
                    SHIBULI,5567,6135,11702,2417,25.27,463.03,,,
                    SHIYUNZU,4557,4699,9256,1919,14.79,625.98,,,
                    ESHISIRU,2281,2505,4786,989,8.75,547.18,,,
                EAST BUTSOTSO,11259,11968,23227,4843,33.05,702.87,,,
                    INDANGALASIA,3565,3866,7431,1566,10.83,686,,,
                    SHIRAKALU,2823,3041,5864,1173,8.02,731.45,,,
                    MURUMBA,4871,5061,9932,2104,14.2,699.61,,,
            NAVAKHOLO,43107,46615,89722,17841,175.1,512.4,,,
                WEST BUNYALA,18165,20242,38407,7546,73.27,524.21,,,
                    BUNDONGA,3071,3389,6460,1281,13.37,483.3,,,
                    LUSUMU,5736,6354,12090,2428,18.97,637.26,,,
                    SIDIKHO,4359,4878,9237,1771,20.85,443.09,,,
                    KOCHWA,4999,5621,10620,2066,20.08,528.86,,,
                EAST BUNYALA,10749,11373,22122,4491,45.01,491.5,,,
                    SIVILIE,5797,5990,11787,2430,22.96,513.47,,,
                    NAMIRAMA,4952,5383,10335,2061,22.05,468.64,,,
                NAMBACHA,14193,15000,29193,5804,56.83,513.72,,,
                    MUKHWESO,2651,2691,5342,1053,8.01,666.66,,,
                    SIRIGOI,4026,4316,8342,1644,18.48,451.47,,,
                    NAMBACHA,2917,3148,6065,1253,13.73,441.82,,,
                    BUCHANGU,4599,4845,9444,1854,16.61,568.63,,,
            MUNICIPALITY,47257,46624,93881,23769,48.73,1926.62,,,
                SHIEYWE,24224,24080,48304,13166,17.89,2700.27,,,
                    TOWNSHIP,5268,4787,10055,2691,2.59,3879.39,,,
                    SICHILAYI,18956,19293,38249,10475,15.3,2500.47,,,
                BUKHUNGU,23033,22544,45577,10603,30.84,1477.87,,,
                    SHIRERE,16958,16552,33510,7738,17.43,1922.94,,,
                    MAHIAKALO,6075,5992,12067,2865,13.41,899.63,,,
        KAKAMEGA SOUTH,49260,55409,104669,23144,143.56,729.11,,,
            IKOLOMANI NORTH,29362,32362,61724,13698,86.72,711.8,,,
                SHISERE,12376,13485,25861,5648,40.6,636.92,,,
                    MUTAHO,2960,3138,6098,1304,11.1,549.57,,,
                    SHIKULU,2590,2910,5500,1195,9.35,587.98,,,
                    SHISESO,3233,3498,6731,1506,9.11,738.74,,,
                    SHIMANYIRO,3593,3939,7532,1643,11.04,682.15,,,
                SHIRUMBA,8280,9334,17614,4002,19.28,913.5,,,
                    SHIVAGALA,3383,3917,7300,1624,7.47,976.72,,,
                    MALINYA,2684,2901,5585,1278,5.31,1051.31,,,
                    SHITOLI,2213,2516,4729,1100,6.5,728.04,,,
                ISULU,8706,9543,18249,4048,26.83,680.17,,,
                    MUSOLI,2987,3174,6161,1297,9.38,656.82,,,
                    SHIBUNAME,1285,1412,2697,591,5.93,454.87,,,
                    LUNENERE,2656,3025,5681,1311,6.4,888.07,,,
                    MUKONGOLO,1778,1932,3710,849,5.12,724.09,,,
            IKOLOMANI SOUTH,19898,23047,42945,9446,56.84,755.51,,,
                IGUHU,10448,11580,22028,4836,32.86,670.28,,,
                    LIRHEMBE,1522,1617,3139,687,3.01,1042.65,,,
                    SAVANE,2143,2269,4412,968,8.47,520.9,,,
                    MAKHOKHO,2230,2696,4926,1111,6.11,805.8,,,
                    SHIVEYE,1629,1765,3394,750,5.25,646.01,,,
                    IVONDA,2924,3233,6157,1320,10.02,614.68,,,
                SHIKUMU,5766,6611,12377,2855,14.67,843.45,,,
                    SHABWALI,1460,1736,3196,752,4.78,668.35,,,
                    MADIVINI,2369,2621,4990,1142,5.32,937.86,,,
                    KALUNI,1937,2254,4191,961,4.57,916.71,,,
                EREGI,3684,4856,8540,1755,9.3,917.87,,,
                    SHISEJERI,1415,2181,3596,637,2.92,1233.41,,,
                    SHANJETSO,1230,1443,2673,605,3.42,782.08,,,
                    LUKOSE,1039,1232,2271,513,2.97,764.41,,,
        KAKAMEGA NORTH,99716,105450,205166,40635,427.39,480.05,,,
            KABRAS CENTRAL,20999,22428,43427,8785,94.18,461.09,,,
                MATIOLI,5948,6266,12214,2461,28.53,428.09,,,
                    TANDE,1922,2006,3928,836,9.09,432.04,,,
                    MUKAVAKAVA,1577,1653,3230,578,7.16,451.27,,,
                    BUTALI,1774,1873,3647,756,9.2,396.6,,,
                    SHIPALA,675,734,1409,291,3.09,456.47,,,
                MUGAI,3939,4110,8049,1544,15.67,513.68,,,
                    LUKALA,1003,1062,2065,400,4.54,454.54,,,
                    MUSUNGU,1260,1270,2530,490,5.49,460.49,,,
                    SUNDULO,1676,1778,3454,654,5.63,613.27,,,
                SHIRUGU,7051,7650,14701,2867,36.32,404.71,,,
                    MALEKHA,2732,2904,5636,1099,14.53,387.82,,,
                    SAMITSI,2232,2489,4721,923,12.36,381.87,,,
                    SHEYWE,2087,2257,4344,845,9.43,460.68,,,
                TOWNSHIP,4061,4402,8463,1913,13.66,619.7,,,
                    ISANJIRO,913,1041,1954,519,2.66,735.5,,,
                    SHIVIKHWA,2019,2185,4204,907,8.61,488.01,,,
                    MALANGA,1129,1176,2305,487,2.39,966.25,,,
            KABRAS SOUTH,21217,22156,43373,8852,73.51,590,,,
                SHIANDA,13820,14344,28164,5905,43.93,641.14,,,
                    SHAMBERERE,2010,2032,4042,1008,3.98,1015.55,,,
                    SHAMONI,2996,3180,6176,1236,8.74,706.26,,,
                    SASALA,2450,2528,4978,1079,10.01,497.23,,,
                    IFWETERE,1246,1219,2465,466,3.69,668.6,,,
                    LUNYINYA,2413,2584,4997,998,7.82,639.1,,,
                    CHEVOSO,2705,2801,5506,1118,9.69,568.43,,,
                MAHIRA,7397,7812,15209,2947,29.59,514.07,,,
                    MUTING'ONG'O,1295,1348,2643,499,5.81,455.09,,,
                    SHILONGO,2544,2630,5174,1058,8.87,583.22,,,
                    MWERA,2020,2165,4185,798,8.23,508.56,,,
                    MUKHONJE,1538,1669,3207,592,6.68,480.31,,,
            KABRAS EAST,19581,20815,40396,7819,99.57,405.72,,,
                CHESERO,10965,11694,22659,4518,49.59,456.91,,,
                    IKOLI,4669,5029,9698,1907,18.96,511.44,,,
                    LWANDA,2354,2499,4853,913,12.3,394.56,,,
                    FUVALE,858,931,1789,365,9.1,196.49,,,
                    KAKUNGA,3084,3235,6319,1333,9.22,685.01,,,
                CHEMUCHE,8616,9121,17737,3301,49.97,354.93,,,
                    MUSINGU,821,885,1706,313,4.82,354.21,,,
                    TUMBENI,1337,1358,2695,530,8,336.92,,,
                    MASUNGUTSA,547,650,1197,213,3.18,376.04,,,
                    CHIMORONI,2568,2743,5311,972,14.63,363.14,,,
                    LUKHOKHO,1371,1433,2804,506,8.22,341.3,,,
                    KIMANGETI,1972,2052,4024,767,11.13,361.41,,,
